file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [03-Jul-2025 13:14:56 UTC] PHP Deprecated:  Required parameter $field follows optional parameter $post_id in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/includes/api/api-value.php on line 231
#6 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#7 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#8 {main}
  thrown in /wordpress/wp-content/plugins/turnkey-lender-pay-over-time/includes/TKL_WC_Payment_Gateway.php on line 5
[03-Jul-2025 13:21:30 UTC] PHP Warning:  The magic method TKL_API::__wakeup() must have public visibility in /wordpress/wp-content/plugins/turnkey-lender-pay-over-time/includes/API/TKL_API.php on line 132
[03-Jul-2025 13:21:30 UTC] PHP Fatal error:  Uncaught Error: Class "WC_Payment_Gateway" not found in /wordpress/wp-content/plugins/turnkey-lender-pay-over-time/includes/TKL_WC_Payment_Gateway.php:5
Stack trace:
#0 /wordpress/wp-content/plugins/turnkey-lender-pay-over-time/woocommerce-turnkey-lender-gateway.php(29): require_once()
#1 /wordpress/wp-includes/class-wp-hook.php(324): turnkey_lender_init_gateway_class('')
#2 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#3 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#4 /wordpress/wp-settings.php(578): do_action('plugins_loaded')
#5 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#6 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#7 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#8 {main}
  thrown in /wordpress/wp-content/plugins/turnkey-lender-pay-over-time/includes/TKL_WC_Payment_Gateway.php on line 5
[03-Jul-2025 13:21:39 UTC] PHP Warning:  The magic method TKL_API::__wakeup() must have public visibility in /wordpress/wp-content/plugins/turnkey-lender-pay-over-time/includes/API/TKL_API.php on line 132
[03-Jul-2025 13:21:39 UTC] PHP Fatal error:  Uncaught Error: Class "WC_Payment_Gateway" not found in /wordpress/wp-content/plugins/turnkey-lender-pay-over-time/includes/TKL_WC_Payment_Gateway.php:5
Stack trace:
#0 /wordpress/wp-content/plugins/turnkey-lender-pay-over-time/woocommerce-turnkey-lender-gateway.php(29): require_once()
#1 /wordpress/wp-includes/class-wp-hook.php(324): turnkey_lender_init_gateway_class('')
#2 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#3 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#4 /wordpress/wp-settings.php(578): do_action('plugins_loaded')
#5 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#6 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#7 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#8 {main}
  thrown in /wordpress/wp-content/plugins/turnkey-lender-pay-over-time/includes/TKL_WC_Payment_Gateway.php on line 5

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"twittercart"},"options":{"activate":true}}) : Plugin /wordpress/wp-content/plugins/twittercart could not be activated – WordPress exited with no error. Sometimes, when $_SERVER or site options are not configured correctly, WordPress exits early with a 301 redirect. Inspect the "debug" logs in the console for more details.
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: Error: Plugin /wordpress/wp-content/plugins/twittercart could not be activated – WordPress exited with no error. Sometimes, when $_SERVER or site options are not configured correctly, WordPress exits early with a 301 redirect. Inspect the "debug" logs in the console for more details.
        at wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:120:51)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:631:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12161:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12090:23)
        at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
        at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10)
  }
}

Node.js v23.11.0
