file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [03-Jul-2025 19:02:07 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:58 UTC] PHP Deprecated:  Required parameter $wp_customize follows optional parameter $args in /wordpress/wp-content/plugins/visualmodo-related-posts/includes/options/core/inc/extensions/customizer/extension_customizer.php on line 606
[03-Jul-2025 19:04:29 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:29 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:29 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:29 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:30 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:30 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:30 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:30 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:38 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:38 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:38 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:38 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:39 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:39 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:39 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:39 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:48 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:48 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:48 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:48 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:49 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:49 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[03-Jul-2025 19:04:49 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:49 UTC] PHP Deprecated:  Required parameter $getdata follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/functions.php on line 2
[03-Jul-2025 19:04:58 UTC] PHP Deprecated:  Function get_usermeta is <strong>deprecated</strong> since version 3.0.0! Use get_user_meta() instead. in /wordpress/wp-includes/functions.php on line 6121
[03-Jul-2025 19:05:07 UTC] PHP Deprecated:  Function get_usermeta is <strong>deprecated</strong> since version 3.0.0! Use get_user_meta() instead. in /wordpress/wp-includes/functions.php on line 6121
[03-Jul-2025 19:05:16 UTC] PHP Deprecated:  Function get_usermeta is <strong>deprecated</strong> since version 3.0.0! Use get_user_meta() instead. in /wordpress/wp-includes/functions.php on line 6121
[03-Jul-2025 19:05:26 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/vit-website-reviews/freemius/includes/class-fs-logger.php on line 145
[03-Jul-2025 19:05:27 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
    </p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN IMMEDIATE | (no parameters)</li>
<li>Executing: SELECT `shortcode_ig_settings` FROM `wp_website_review_custom_settings` WHERE `id` = 1 | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
SQLSTATE[HY000]: General error: 1 no such table: wp_website_review_custom_settings
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-driver.php(683): WP_SQLite_Driver->new_driver_exception('SQLSTATE[HY000]...', 'HY000', Object(PDOException))
#1 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(491): WP_SQLite_Driver->query('\r\n        SELEC...')
#2 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(432): WP_SQLite_DB->_do_query('\r\n        SELEC...')
#3 /wordpress/wp-includes/class-wpdb.php(3146): WP_SQLite_DB->query('\r\n        SELEC...')
#4 /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php(200): wpdb->get_results('\r\n        SELEC...')
#5 /wordpress/wp-content/plugins/vit-website-reviews/vit-website-reviews.php(312): VIT_WR_Database->vit_wr_getIntegrationSettings()
#6 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#7 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('vit-website-rev...')
#8 /internal/eval.php(20): activate_plugin('vit-website-rev...')
#9 {main}</pre>
 for query 
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
     made by activate_plugin, plugin_sandbox_scrape, include_once('/plugins/vit-website-reviews/vit-website-reviews.php'), VIT_WR_Database->vit_wr_getIntegrationSettings, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[03-Jul-2025 19:05:27 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
    </p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN IMMEDIATE | (no parameters)</li>
<li>Executing: SELECT `shortcode_ig_settings` FROM `wp_website_review_custom_settings` WHERE `id` = 1 | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
SQLSTATE[HY000]: General error: 1 no such table: wp_website_review_custom_settings
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-driver.php(683): WP_SQLite_Driver->new_driver_exception('SQLSTATE[HY000]...', 'HY000', Object(PDOException))
#1 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(491): WP_SQLite_Driver->query('\r\n        SELEC...')
#2 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(432): WP_SQLite_DB->_do_query('\r\n        SELEC...')
#3 /wordpress/wp-includes/class-wpdb.php(3146): WP_SQLite_DB->query('\r\n        SELEC...')
#4 /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php(200): wpdb->get_results('\r\n        SELEC...')
#5 /wordpress/wp-content/plugins/vit-website-reviews/vit-website-reviews.php(312): VIT_WR_Database->vit_wr_getIntegrationSettings()
#6 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#7 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('vit-website-rev...')
#8 /internal/eval.php(20): activate_plugin('vit-website-rev...')
#9 {main}</pre>
 for query 
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
     made by activate_plugin, plugin_sandbox_scrape, include_once('/plugins/vit-website-reviews/vit-website-reviews.php'), VIT_WR_Database->vit_wr_getIntegrationSettings, WP_SQLite_DB->print_error
[03-Jul-2025 19:05:29 UTC] PHP Fatal error:  Uncaught Error: Cannot use object of type WP_Error as array in /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php:81
Stack trace:
#0 /wordpress/wp-content/plugins/vit-website-reviews/vit-website-reviews.php(352): VIT_WR_Database->vit_wr_baseConfigPushUserSettings()
#1 /wordpress/wp-includes/class-wp-hook.php(324): vit_website_reviews_activate(false)
#2 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#3 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#4 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_vit-we...', false)
#5 /internal/eval.php(20): activate_plugin('vit-website-rev...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php on line 81
[03-Jul-2025 19:05:38 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/vit-website-reviews/freemius/includes/class-fs-logger.php on line 145
[03-Jul-2025 19:05:39 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
    </p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN IMMEDIATE | (no parameters)</li>
<li>Executing: SELECT `shortcode_ig_settings` FROM `wp_website_review_custom_settings` WHERE `id` = 1 | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
SQLSTATE[HY000]: General error: 1 no such table: wp_website_review_custom_settings
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-driver.php(683): WP_SQLite_Driver->new_driver_exception('SQLSTATE[HY000]...', 'HY000', Object(PDOException))
#1 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(491): WP_SQLite_Driver->query('\r\n        SELEC...')
#2 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(432): WP_SQLite_DB->_do_query('\r\n        SELEC...')
#3 /wordpress/wp-includes/class-wpdb.php(3146): WP_SQLite_DB->query('\r\n        SELEC...')
#4 /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php(200): wpdb->get_results('\r\n        SELEC...')
#5 /wordpress/wp-content/plugins/vit-website-reviews/vit-website-reviews.php(312): VIT_WR_Database->vit_wr_getIntegrationSettings()
#6 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#7 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('vit-website-rev...')
#8 /internal/eval.php(20): activate_plugin('vit-website-rev...')
#9 {main}</pre>
 for query 
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
     made by activate_plugin, plugin_sandbox_scrape, include_once('/plugins/vit-website-reviews/vit-website-reviews.php'), VIT_WR_Database->vit_wr_getIntegrationSettings, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[03-Jul-2025 19:05:39 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
    </p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN IMMEDIATE | (no parameters)</li>
<li>Executing: SELECT `shortcode_ig_settings` FROM `wp_website_review_custom_settings` WHERE `id` = 1 | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
SQLSTATE[HY000]: General error: 1 no such table: wp_website_review_custom_settings
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-driver.php(683): WP_SQLite_Driver->new_driver_exception('SQLSTATE[HY000]...', 'HY000', Object(PDOException))
#1 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(491): WP_SQLite_Driver->query('\r\n        SELEC...')
#2 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(432): WP_SQLite_DB->_do_query('\r\n        SELEC...')
#3 /wordpress/wp-includes/class-wpdb.php(3146): WP_SQLite_DB->query('\r\n        SELEC...')
#4 /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php(200): wpdb->get_results('\r\n        SELEC...')
#5 /wordpress/wp-content/plugins/vit-website-reviews/vit-website-reviews.php(312): VIT_WR_Database->vit_wr_getIntegrationSettings()
#6 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#7 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('vit-website-rev...')
#8 /internal/eval.php(20): activate_plugin('vit-website-rev...')
#9 {main}</pre>
 for query 
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
     made by activate_plugin, plugin_sandbox_scrape, include_once('/plugins/vit-website-reviews/vit-website-reviews.php'), VIT_WR_Database->vit_wr_getIntegrationSettings, WP_SQLite_DB->print_error
[03-Jul-2025 19:05:39 UTC] PHP Fatal error:  Uncaught Error: Cannot use object of type WP_Error as array in /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php:81
Stack trace:
#0 /wordpress/wp-content/plugins/vit-website-reviews/vit-website-reviews.php(352): VIT_WR_Database->vit_wr_baseConfigPushUserSettings()
#1 /wordpress/wp-includes/class-wp-hook.php(324): vit_website_reviews_activate(false)
#2 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#3 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#4 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_vit-we...', false)
#5 /internal/eval.php(20): activate_plugin('vit-website-rev...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php on line 81
[03-Jul-2025 19:05:49 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/vit-website-reviews/freemius/includes/class-fs-logger.php on line 145
[03-Jul-2025 19:05:50 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
    </p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN IMMEDIATE | (no parameters)</li>
<li>Executing: SELECT `shortcode_ig_settings` FROM `wp_website_review_custom_settings` WHERE `id` = 1 | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
SQLSTATE[HY000]: General error: 1 no such table: wp_website_review_custom_settings
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-driver.php(683): WP_SQLite_Driver->new_driver_exception('SQLSTATE[HY000]...', 'HY000', Object(PDOException))
#1 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(491): WP_SQLite_Driver->query('\r\n        SELEC...')
#2 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(432): WP_SQLite_DB->_do_query('\r\n        SELEC...')
#3 /wordpress/wp-includes/class-wpdb.php(3146): WP_SQLite_DB->query('\r\n        SELEC...')
#4 /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php(200): wpdb->get_results('\r\n        SELEC...')
#5 /wordpress/wp-content/plugins/vit-website-reviews/vit-website-reviews.php(312): VIT_WR_Database->vit_wr_getIntegrationSettings()
#6 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#7 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('vit-website-rev...')
#8 /internal/eval.php(20): activate_plugin('vit-website-rev...')
#9 {main}</pre>
 for query 
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
     made by activate_plugin, plugin_sandbox_scrape, include_once('/plugins/vit-website-reviews/vit-website-reviews.php'), VIT_WR_Database->vit_wr_getIntegrationSettings, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[03-Jul-2025 19:05:50 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
    </p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN IMMEDIATE | (no parameters)</li>
<li>Executing: SELECT `shortcode_ig_settings` FROM `wp_website_review_custom_settings` WHERE `id` = 1 | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
SQLSTATE[HY000]: General error: 1 no such table: wp_website_review_custom_settings
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-driver.php(683): WP_SQLite_Driver->new_driver_exception('SQLSTATE[HY000]...', 'HY000', Object(PDOException))
#1 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(491): WP_SQLite_Driver->query('\r\n        SELEC...')
#2 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(432): WP_SQLite_DB->_do_query('\r\n        SELEC...')
#3 /wordpress/wp-includes/class-wpdb.php(3146): WP_SQLite_DB->query('\r\n        SELEC...')
#4 /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php(200): wpdb->get_results('\r\n        SELEC...')
#5 /wordpress/wp-content/plugins/vit-website-reviews/vit-website-reviews.php(312): VIT_WR_Database->vit_wr_getIntegrationSettings()
#6 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#7 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('vit-website-rev...')
#8 /internal/eval.php(20): activate_plugin('vit-website-rev...')
#9 {main}</pre>
 for query 
        SELECT shortcode_ig_settings
        FROM wp_website_review_custom_settings WHERE id = 1
     made by activate_plugin, plugin_sandbox_scrape, include_once('/plugins/vit-website-reviews/vit-website-reviews.php'), VIT_WR_Database->vit_wr_getIntegrationSettings, WP_SQLite_DB->print_error
[03-Jul-2025 19:05:51 UTC] PHP Fatal error:  Uncaught Error: Cannot use object of type WP_Error as array in /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php:81
Stack trace:
#0 /wordpress/wp-content/plugins/vit-website-reviews/vit-website-reviews.php(352): VIT_WR_Database->vit_wr_baseConfigPushUserSettings()
#1 /wordpress/wp-includes/class-wp-hook.php(324): vit_website_reviews_activate(false)
#2 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#3 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#4 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_vit-we...', false)
#5 /internal/eval.php(20): activate_plugin('vit-website-rev...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/vit-website-reviews/model/Database.php on line 81
[03-Jul-2025 19:07:43 UTC] PHP Warning:  Undefined variable $caller in /wordpress/wp-content/plugins/vjoon-wp-adapter/src/Functions.php on line 115
[03-Jul-2025 19:07:43 UTC] PHP Deprecated:  dirname(): Passing null to parameter #1 ($path) of type string is deprecated in /wordpress/wp-content/plugins/vjoon-wp-adapter/src/Functions.php on line 115
[03-Jul-2025 19:07:54 UTC] PHP Warning:  Undefined variable $caller in /wordpress/wp-content/plugins/vjoon-wp-adapter/src/Functions.php on line 115
[03-Jul-2025 19:07:54 UTC] PHP Deprecated:  dirname(): Passing null to parameter #1 ($path) of type string is deprecated in /wordpress/wp-content/plugins/vjoon-wp-adapter/src/Functions.php on line 115
[03-Jul-2025 19:08:06 UTC] PHP Warning:  Undefined variable $caller in /wordpress/wp-content/plugins/vjoon-wp-adapter/src/Functions.php on line 115
[03-Jul-2025 19:08:06 UTC] PHP Deprecated:  dirname(): Passing null to parameter #1 ($path) of type string is deprecated in /wordpress/wp-content/plugins/vjoon-wp-adapter/src/Functions.php on line 115
[03-Jul-2025 19:09:45 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[03-Jul-2025 19:09:46 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[03-Jul-2025 19:09:55 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[03-Jul-2025 19:09:56 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[03-Jul-2025 19:10:05 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[03-Jul-2025 19:10:06 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[03-Jul-2025 19:10:16 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('VKPolls_widget')
#2 /wordpress/wp-content/plugins/vkontakte-polls/vkpolls.php(14): register_widget('VKPolls_widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): load_vkpolls_featured_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[03-Jul-2025 19:10:26 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('VKPolls_widget')
#2 /wordpress/wp-content/plugins/vkontakte-polls/vkpolls.php(14): register_widget('VKPolls_widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): load_vkpolls_featured_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[03-Jul-2025 19:10:36 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('VKPolls_widget')
#2 /wordpress/wp-content/plugins/vkontakte-polls/vkpolls.php(14): register_widget('VKPolls_widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): load_vkpolls_featured_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
