file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [05-Jun-2025 04:36:17 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "template_url" in /wordpress/wp-content/plugins/wp-simple-custom-form/wp-custom-form.php:21
[05-Jun-2025 04:41:42 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-blogfresh/facebook.php on line 140
[05-Jun-2025 04:41:52 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[05-Jun-2025 04:41:53 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[05-Jun-2025 04:41:53 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "WP_FlashClock_2010_widget" in /wordpress/wp-content/plugins/wp-calendar-clock/wp-flashclock.php:127
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): widget_init_WP_FlashClock_2010_widget('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#4 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-settings.php(727): do_action('init')
#8 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#9 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#10 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#11 {main}
  thrown in /wordpress/wp-content/plugins/wp-calendar-clock/wp-flashclock.php on line 127
[05-Jun-2025 04:42:02 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[05-Jun-2025 04:42:02 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[05-Jun-2025 04:42:03 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "WP_FlashClock_2010_widget" in /wordpress/wp-content/plugins/wp-calendar-clock/wp-flashclock.php:127
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): widget_init_WP_FlashClock_2010_widget('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#4 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-settings.php(727): do_action('init')
#8 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#9 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#10 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#11 {main}
  thrown in /wordpress/wp-content/plugins/wp-calendar-clock/wp-flashclock.php on line 127
[05-Jun-2025 04:42:12 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[05-Jun-2025 04:42:13 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[05-Jun-2025 04:42:13 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "WP_FlashClock_2010_widget" in /wordpress/wp-content/plugins/wp-calendar-clock/wp-flashclock.php:127
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): widget_init_WP_FlashClock_2010_widget('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#4 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-settings.php(727): do_action('init')
#8 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#9 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#10 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#11 {main}
  thrown in /wordpress/wp-content/plugins/wp-calendar-clock/wp-flashclock.php on line 127
[05-Jun-2025 04:42:51 UTC] PHP Deprecated:  Required parameter $allowed_nums follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:42:51 UTC] PHP Deprecated:  Required parameter $standard_value follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:42:51 UTC] PHP Deprecated:  Required parameter $max follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:42:52 UTC] PHP Deprecated:  Required parameter $allowed_nums follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:42:52 UTC] PHP Deprecated:  Required parameter $standard_value follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:42:52 UTC] PHP Deprecated:  Required parameter $max follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:00 UTC] PHP Deprecated:  Required parameter $allowed_nums follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:00 UTC] PHP Deprecated:  Required parameter $standard_value follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:00 UTC] PHP Deprecated:  Required parameter $max follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:01 UTC] PHP Deprecated:  Required parameter $allowed_nums follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:01 UTC] PHP Deprecated:  Required parameter $standard_value follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:01 UTC] PHP Deprecated:  Required parameter $max follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:10 UTC] PHP Deprecated:  Required parameter $allowed_nums follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:10 UTC] PHP Deprecated:  Required parameter $standard_value follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:10 UTC] PHP Deprecated:  Required parameter $max follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:11 UTC] PHP Deprecated:  Required parameter $allowed_nums follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:11 UTC] PHP Deprecated:  Required parameter $standard_value follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:43:11 UTC] PHP Deprecated:  Required parameter $max follows optional parameter $number_in_string in /wordpress/wp-content/plugins/wp-youtube-browser/classes/wpytbdatavalidator.php on line 18
[05-Jun-2025 04:45:39 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wp-dailybooth/wp-dailybooth-widget.php:66
Stack trace:
#0 /wordpress/wp-content/plugins/wp-dailybooth/wp-dailybooth.php(89): require_once()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wp-dailybooth/w...')
#3 /internal/eval.php(20): activate_plugin('wp-dailybooth/w...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/wp-dailybooth/wp-dailybooth-widget.php on line 66
[05-Jun-2025 04:45:48 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wp-dailybooth/wp-dailybooth-widget.php:66
Stack trace:
#0 /wordpress/wp-content/plugins/wp-dailybooth/wp-dailybooth.php(89): require_once()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wp-dailybooth/w...')
#3 /internal/eval.php(20): activate_plugin('wp-dailybooth/w...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/wp-dailybooth/wp-dailybooth-widget.php on line 66
[05-Jun-2025 04:45:56 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wp-dailybooth/wp-dailybooth-widget.php:66
Stack trace:
#0 /wordpress/wp-content/plugins/wp-dailybooth/wp-dailybooth.php(89): require_once()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wp-dailybooth/w...')
#3 /internal/eval.php(20): activate_plugin('wp-dailybooth/w...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/wp-dailybooth/wp-dailybooth-widget.php on line 66

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"wp-dailybooth"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:1034:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:34:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:631:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12161:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12090:23)
        at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
        at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ]
        },
        bytes: Uint8Array(0) [],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
