file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [04-May-2025 23:46:55 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/hq-sand-box/sandbox.php on line 285
[04-May-2025 23:47:40 UTC] PHP Warning:  Undefined array key "just_hypeanimations" in /wordpress/wp-content/plugins/hype-animations/includes/iframe.php on line 8
[04-May-2025 23:53:46 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "TMenu" in /wordpress/wp-content/plugins/eewee-restaurant-menu/models/TMenu.php:2
Stack trace:
#0 /wordpress/wp-content/plugins/eewee-restaurant-menu/index.php(49): require_once()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('eewee-restauran...')
#3 /internal/eval.php(20): activate_plugin('eewee-restauran...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/eewee-restaurant-menu/models/TMenu.php on line 2
[04-May-2025 23:53:54 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "TMenu" in /wordpress/wp-content/plugins/eewee-restaurant-menu/models/TMenu.php:2
Stack trace:
#0 /wordpress/wp-content/plugins/eewee-restaurant-menu/index.php(49): require_once()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('eewee-restauran...')
#3 /internal/eval.php(20): activate_plugin('eewee-restauran...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/eewee-restaurant-menu/models/TMenu.php on line 2
[04-May-2025 23:54:02 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "TMenu" in /wordpress/wp-content/plugins/eewee-restaurant-menu/models/TMenu.php:2
Stack trace:
#0 /wordpress/wp-content/plugins/eewee-restaurant-menu/index.php(49): require_once()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('eewee-restauran...')
#3 /internal/eval.php(20): activate_plugin('eewee-restauran...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/eewee-restaurant-menu/models/TMenu.php on line 2

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"eewee-restaurant-menu"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:33:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ]
        },
        bytes: Uint8Array(0) [],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
