file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [22-Jun-2025 04:39:43 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[22-Jun-2025 04:43:22 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[22-Jun-2025 04:43:22 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 04:43:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[22-Jun-2025 04:43:22 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[22-Jun-2025 04:43:23 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[22-Jun-2025 04:43:23 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[22-Jun-2025 04:43:23 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[22-Jun-2025 04:43:23 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[22-Jun-2025 04:43:23 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[22-Jun-2025 04:43:23 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[22-Jun-2025 04:43:23 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[22-Jun-2025 04:44:02 UTC] PHP Deprecated:  Required parameter $numberposts follows optional parameter $cat in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 188
[22-Jun-2025 04:44:02 UTC] PHP Deprecated:  Required parameter $truncate follows optional parameter $cat in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 188
[22-Jun-2025 04:44:02 UTC] PHP Deprecated:  Required parameter $title_limit follows optional parameter $cat in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 188
[22-Jun-2025 04:44:02 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php:274
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wp-news-feed-wi...')
#2 /internal/eval.php(20): activate_plugin('wp-news-feed-wi...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 274
[22-Jun-2025 04:44:10 UTC] PHP Deprecated:  Required parameter $numberposts follows optional parameter $cat in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 188
[22-Jun-2025 04:44:10 UTC] PHP Deprecated:  Required parameter $truncate follows optional parameter $cat in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 188
[22-Jun-2025 04:44:10 UTC] PHP Deprecated:  Required parameter $title_limit follows optional parameter $cat in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 188
[22-Jun-2025 04:44:10 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php:274
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wp-news-feed-wi...')
#2 /internal/eval.php(20): activate_plugin('wp-news-feed-wi...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 274
[22-Jun-2025 04:44:19 UTC] PHP Deprecated:  Required parameter $numberposts follows optional parameter $cat in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 188
[22-Jun-2025 04:44:19 UTC] PHP Deprecated:  Required parameter $truncate follows optional parameter $cat in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 188
[22-Jun-2025 04:44:19 UTC] PHP Deprecated:  Required parameter $title_limit follows optional parameter $cat in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 188
[22-Jun-2025 04:44:19 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php:274
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wp-news-feed-wi...')
#2 /internal/eval.php(20): activate_plugin('wp-news-feed-wi...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wp-news-feed-widget/wp-news-feed-widget.php on line 274
[22-Jun-2025 04:45:30 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/wp-presenter-pro/php/admin/class-options.php on line 377
[22-Jun-2025 04:45:40 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/wp-presenter-pro/php/admin/class-options.php on line 377
[22-Jun-2025 04:45:50 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/wp-presenter-pro/php/admin/class-options.php on line 377

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"wpml"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/wpml.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/wpml.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/wpml.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/wpml.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1129:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
