file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [12-Apr-2025 05:25:40 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[12-Apr-2025 05:26:55 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[12-Apr-2025 05:26:55 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[12-Apr-2025 05:26:55 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[12-Apr-2025 05:26:55 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[12-Apr-2025 05:26:55 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[12-Apr-2025 05:26:55 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 555
[12-Apr-2025 05:26:55 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[12-Apr-2025 05:26:55 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-leads-builder-any-crm/includes/WPCapture_includes_helper.php on line 577
[12-Apr-2025 05:28:35 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wenderhost-subpages-widget/wh-subpages.php:114
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wenderhost-subp...')
#2 /internal/eval.php(20): activate_plugin('wenderhost-subp...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wenderhost-subpages-widget/wh-subpages.php on line 114
[12-Apr-2025 05:28:43 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wenderhost-subpages-widget/wh-subpages.php:114
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wenderhost-subp...')
#2 /internal/eval.php(20): activate_plugin('wenderhost-subp...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wenderhost-subpages-widget/wh-subpages.php on line 114
[12-Apr-2025 05:28:51 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wenderhost-subpages-widget/wh-subpages.php:114
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wenderhost-subp...')
#2 /internal/eval.php(20): activate_plugin('wenderhost-subp...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wenderhost-subpages-widget/wh-subpages.php on line 114
[12-Apr-2025 05:29:00 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('Sellfy_Widget')
#2 /wordpress/wp-content/plugins/wp-sellfy-master/WP_sellfy_master.php(106): register_widget('Sellfy_Widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): sellfy_widget_register_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(704): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[12-Apr-2025 05:29:09 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('Sellfy_Widget')
#2 /wordpress/wp-content/plugins/wp-sellfy-master/WP_sellfy_master.php(106): register_widget('Sellfy_Widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): sellfy_widget_register_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(704): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[12-Apr-2025 05:29:17 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('Sellfy_Widget')
#2 /wordpress/wp-content/plugins/wp-sellfy-master/WP_sellfy_master.php(106): register_widget('Sellfy_Widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): sellfy_widget_register_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(704): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[12-Apr-2025 05:31:33 UTC] PHP Warning:  Trying to access array offset on value of type int in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 46
[12-Apr-2025 05:31:33 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 46
[12-Apr-2025 05:31:33 UTC] PHP Warning:  Trying to access array offset on value of type int in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 51
[12-Apr-2025 05:31:33 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 51
[12-Apr-2025 05:31:43 UTC] PHP Warning:  Trying to access array offset on value of type int in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 46
[12-Apr-2025 05:31:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 46
[12-Apr-2025 05:31:43 UTC] PHP Warning:  Trying to access array offset on value of type int in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 51
[12-Apr-2025 05:31:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 51
[12-Apr-2025 05:31:53 UTC] PHP Warning:  Trying to access array offset on value of type int in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 46
[12-Apr-2025 05:31:53 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 46
[12-Apr-2025 05:31:53 UTC] PHP Warning:  Trying to access array offset on value of type int in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 51
[12-Apr-2025 05:31:53 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wppizza/classes/class.wppizza.gateways.php on line 51
[12-Apr-2025 05:32:02 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:32:11 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:32:20 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:34:31 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wp-mashsocial-wigdet/WP-Mashsocial-Widget.php:377
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wp-mashsocial-w...')
#2 /internal/eval.php(20): activate_plugin('wp-mashsocial-w...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wp-mashsocial-wigdet/WP-Mashsocial-Widget.php on line 377
[12-Apr-2025 05:34:40 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wp-mashsocial-wigdet/WP-Mashsocial-Widget.php:377
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wp-mashsocial-w...')
#2 /internal/eval.php(20): activate_plugin('wp-mashsocial-w...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wp-mashsocial-wigdet/WP-Mashsocial-Widget.php on line 377
[12-Apr-2025 05:34:47 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wp-mashsocial-wigdet/WP-Mashsocial-Widget.php:377
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wp-mashsocial-w...')
#2 /internal/eval.php(20): activate_plugin('wp-mashsocial-w...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wp-mashsocial-wigdet/WP-Mashsocial-Widget.php on line 377
[12-Apr-2025 05:35:22 UTC] PHP Warning:  Undefined variable $wp_version in /wordpress/wp-content/plugins/wp-testimonials/wp-testimonials.php on line 444
[12-Apr-2025 05:35:22 UTC] PHP Deprecated:  Function supports_collation is <strong>deprecated</strong> since version 3.5.0! Use wpdb::has_cap( 'collation' ) instead. in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:35:22 UTC] PHP Warning:  Undefined variable $charset_collate in /wordpress/wp-content/plugins/wp-testimonials/wp-testimonials.php on line 117
[12-Apr-2025 05:35:22 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>ALTER TABLE wp_testimonials ADD `storder` INT( 5 ) NOT NULL ;</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: SELECT 1 FROM sqlite_temp_schema WHERE type = 'table' AND name = ? | parameters: wp_testimonials</li>
<li>Executing: SELECT COLUMN_NAME FROM _wp_sqlite_mysql_information_schema_columns WHERE table_schema = ? AND table_name = ? | parameters: database_name_here, wp_testimonials</li>
<li>Executing: SELECT 1 FROM sqlite_temp_schema WHERE type = 'table' AND name = ? | parameters: wp_testimonials</li>
<li>Executing: 
				SELECT MAX(ordinal_position)
				FROM _wp_sqlite_mysql_information_schema_columns
				WHERE table_schema = ?
				AND table_name = ?
			 | parameters: database_name_here, wp_testimonials</li>
<li>Executing: 
				INSERT INTO _wp_sqlite_mysql_information_schema_columns (table_schema, table_name, column_name, ordinal_position, column_default, is_nullable, data_type, character_maximum_length, character_octet_length, numeric_precision, numeric_scale, datetime_precision, character_set_name, collation_name, column_type, column_key, extra, privileges, column_comment, generation_expression, srs_id)
				VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
			 | parameters: database_name_here, wp_testimonials, storder, 9, , NO, int, , , 10, 0, , , , int(5), , , select,insert,update,references, , , </li>
<li>Executing: PRAGMA foreign_keys | (no parameters)</li>
<li>Executing: PRAGMA foreign_keys = OFF | (no parameters)</li>
<li>Executing: 
				SELECT *
				FROM _wp_sqlite_mysql_information_schema_tables
				WHERE table_type = 'BASE TABLE'
				AND table_schema = ?
				AND table_name = ?
			 | parameters: database_name_here, wp_testimonials</li>
<li>Executing: SELECT * FROM _wp_sqlite_mysql_information_schema_columns WHERE table_schema = ? AND table_name = ? | parameters: database_name_here, wp_testimonials</li>
<li>Executing: SELECT * FROM _wp_sqlite_mysql_information_schema_statistics WHERE table_schema = ? AND table_name = ? | parameters: database_name_here, wp_testimonials</li>
<li>Executing: CREATE TABLE `_wp_sqlite_tmp_wp_testimonials_67f9fb9a756e8` (
  `testid` INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT,
  `text_short` TEXT COLLATE NOCASE,
  `text_full` TEXT COLLATE NOCASE,
  `clientname` TEXT COLLATE NOCASE,
  `company` TEXT COLLATE NOCASE,
  `homepage` TEXT COLLATE NOCASE,
  `sfimgurl` TEXT COLLATE NOCASE,
  `storder` INTEGER NOT NULL,
  `storder` INTEGER NOT NULL
) STRICT | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
SQLSTATE[HY000]: General error: 1 duplicate column name: storder
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-driver.php(690): WP_SQLite_Driver->new_driver_exception('SQLSTATE[HY000]...', 0, Object(PDOException))
#1 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(472): WP_SQLite_Driver->query('ALTER TABLE wp_...')
#2 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(413): WP_SQLite_DB->_do_query('ALTER TABLE wp_...')
#3 /wordpress/wp-content/plugins/wp-testimonials/wp-testimonials.php(143): WP_SQLite_DB->query('ALTER TABLE wp_...')
#4 /wordpress/wp-includes/class-wp-hook.php(324): sfstst_install(false)
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-tes...', false)
#8 /internal/eval.php(20): activate_plugin('wp-testimonials...')
#9 {main}</pre>
 for query ALTER TABLE wp_testimonials ADD `storder` INT( 5 ) NOT NULL ; made by activate_plugin, do_action('activate_wp-testimonials/wp-testimonials.php'), WP_Hook->do_action, WP_Hook->apply_filters, sfstst_install, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 05:35:22 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>INSERT INTO wp_options(option_name, option_value) VALUES ('sfs_admng', 'update_plugins'),('sfs_setlimit', '1'),('sfs_sorder', 'testid DESC')</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: SELECT 1 FROM sqlite_temp_schema WHERE type = 'table' AND name = ? | parameters: wp_options</li>
<li>Executing: 
				SELECT column_name, is_nullable, column_default, data_type, extra
				FROM _wp_sqlite_mysql_information_schema_columns
				WHERE table_schema = ?
				AND table_name = ?
				ORDER BY ordinal_position
			 | parameters: database_name_here, wp_options</li>
<li>Executing: INSERT INTO `wp_options` (`option_id`, `option_name`, `option_value`, `autoload`) SELECT NULL, `column1`, `column2`, 'yes' FROM (VALUES ( 'sfs_admng' , 'update_plugins' ) , ( 'sfs_setlimit' , '1' ) , ( 'sfs_sorder' , 'testid DESC' )) WHERE true | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
SQLSTATE[23000]: Integrity constraint violation: 19 UNIQUE constraint failed: wp_options.option_name
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-driver.php(690): WP_SQLite_Driver->new_driver_exception('SQLSTATE[23000]...', 0, Object(PDOException))
#1 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(472): WP_SQLite_Driver->query('INSERT INTO wp_...')
#2 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(413): WP_SQLite_DB->_do_query('INSERT INTO wp_...')
#3 /wordpress/wp-content/plugins/wp-testimonials/wp-testimonials.php(152): WP_SQLite_DB->query('INSERT INTO wp_...')
#4 /wordpress/wp-includes/class-wp-hook.php(324): sfstst_install(false)
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-tes...', false)
#8 /internal/eval.php(20): activate_plugin('wp-testimonials...')
#9 {main}</pre>
 for query INSERT INTO wp_options(option_name, option_value) VALUES ('sfs_admng', 'update_plugins'),('sfs_setlimit', '1'),('sfs_sorder', 'testid DESC') made by activate_plugin, do_action('activate_wp-testimonials/wp-testimonials.php'), WP_Hook->do_action, WP_Hook->apply_filters, sfstst_install, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 05:35:22 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>ALTER TABLE wp_testimonials ADD `sfimgurl` TEXT ;</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: SELECT 1 FROM sqlite_temp_schema WHERE type = 'table' AND name = ? | parameters: wp_testimonials</li>
<li>Executing: SELECT COLUMN_NAME FROM _wp_sqlite_mysql_information_schema_columns WHERE table_schema = ? AND table_name = ? | parameters: database_name_here, wp_testimonials</li>
<li>Executing: SELECT 1 FROM sqlite_temp_schema WHERE type = 'table' AND name = ? | parameters: wp_testimonials</li>
<li>Executing: 
				SELECT MAX(ordinal_position)
				FROM _wp_sqlite_mysql_information_schema_columns
				WHERE table_schema = ?
				AND table_name = ?
			 | parameters: database_name_here, wp_testimonials</li>
<li>Executing: 
				INSERT INTO _wp_sqlite_mysql_information_schema_columns (table_schema, table_name, column_name, ordinal_position, column_default, is_nullable, data_type, character_maximum_length, character_octet_length, numeric_precision, numeric_scale, datetime_precision, character_set_name, collation_name, column_type, column_key, extra, privileges, column_comment, generation_expression, srs_id)
				VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
			 | parameters: database_name_here, wp_testimonials, sfimgurl, 9, , YES, text, 65535, 65535, , , , utf8mb4, utf8mb4_general_ci, text, , , select,insert,update,references, , , </li>
<li>Executing: PRAGMA foreign_keys | (no parameters)</li>
<li>Executing: PRAGMA foreign_keys = OFF | (no parameters)</li>
<li>Executing: 
				SELECT *
				FROM _wp_sqlite_mysql_information_schema_tables
				WHERE table_type = 'BASE TABLE'
				AND table_schema = ?
				AND table_name = ?
			 | parameters: database_name_here, wp_testimonials</li>
<li>Executing: SELECT * FROM _wp_sqlite_mysql_information_schema_columns WHERE table_schema = ? AND table_name = ? | parameters: database_name_here, wp_testimonials</li>
<li>Executing: SELECT * FROM _wp_sqlite_mysql_information_schema_statistics WHERE table_schema = ? AND table_name = ? | parameters: database_name_here, wp_testimonials</li>
<li>Executing: CREATE TABLE `_wp_sqlite_tmp_wp_testimonials_67f9fb9a7d000` (
  `testid` INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT,
  `text_short` TEXT COLLATE NOCASE,
  `text_full` TEXT COLLATE NOCASE,
  `clientname` TEXT COLLATE NOCASE,
  `company` TEXT COLLATE NOCASE,
  `homepage` TEXT COLLATE NOCASE,
  `sfimgurl` TEXT COLLATE NOCASE,
  `storder` INTEGER NOT NULL,
  `sfimgurl` TEXT COLLATE NOCASE
) STRICT | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
SQLSTATE[HY000]: General error: 1 duplicate column name: sfimgurl
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-driver.php(690): WP_SQLite_Driver->new_driver_exception('SQLSTATE[HY000]...', 0, Object(PDOException))
#1 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(472): WP_SQLite_Driver->query('ALTER TABLE wp_...')
#2 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(413): WP_SQLite_DB->_do_query('ALTER TABLE wp_...')
#3 /wordpress/wp-content/plugins/wp-testimonials/wp-testimonials.php(158): WP_SQLite_DB->query('ALTER TABLE wp_...')
#4 /wordpress/wp-includes/class-wp-hook.php(324): sfstst_install(false)
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-tes...', false)
#8 /internal/eval.php(20): activate_plugin('wp-testimonials...')
#9 {main}</pre>
 for query ALTER TABLE wp_testimonials ADD `sfimgurl` TEXT ; made by activate_plugin, do_action('activate_wp-testimonials/wp-testimonials.php'), WP_Hook->do_action, WP_Hook->apply_filters, sfstst_install, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 05:35:23 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
