file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [01-May-2025 14:49:51 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/woo-advance-search/freemius/includes/class-fs-logger.php on line 145
[01-May-2025 14:53:44 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/wp-easy-notices/wp-easy-notices.php on line 24
[01-May-2025 14:53:52 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/wp-easy-notices/wp-easy-notices.php on line 24
[01-May-2025 14:53:53 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/wp-easy-notices/wp-easy-notices.php on line 24
[01-May-2025 14:54:02 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/wp-easy-notices/wp-easy-notices.php on line 24
[01-May-2025 14:54:03 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/wp-easy-notices/wp-easy-notices.php on line 24
[01-May-2025 14:54:12 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54
[01-May-2025 14:54:12 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 31
[01-May-2025 14:54:12 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 32
[01-May-2025 14:54:13 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54
[01-May-2025 14:54:21 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54
[01-May-2025 14:54:22 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 31
[01-May-2025 14:54:22 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 32
[01-May-2025 14:54:22 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54
[01-May-2025 14:54:31 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54
[01-May-2025 14:54:32 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 31
[01-May-2025 14:54:32 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 32
[01-May-2025 14:54:33 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54
[01-May-2025 14:55:23 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wptextresizecontrols/init.php:92
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wptextresizecon...')
#2 /internal/eval.php(20): activate_plugin('wptextresizecon...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wptextresizecontrols/init.php on line 92
[01-May-2025 14:55:32 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wptextresizecontrols/init.php:92
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wptextresizecon...')
#2 /internal/eval.php(20): activate_plugin('wptextresizecon...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wptextresizecontrols/init.php on line 92
[01-May-2025 14:55:40 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wptextresizecontrols/init.php:92
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wptextresizecon...')
#2 /internal/eval.php(20): activate_plugin('wptextresizecon...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wptextresizecontrols/init.php on line 92
[01-May-2025 14:57:38 UTC] PHP Warning:  Undefined array key "std" in /wordpress/wp-content/plugins/web-maps-for-wp/lib/AGOLForWP/Class/AGOLforWPOptions.php on line 1128
[01-May-2025 14:57:38 UTC] PHP Warning:  Undefined variable $wp_error in /wordpress/wp-content/plugins/web-maps-for-wp/agol-for-wp.php on line 59
[01-May-2025 14:57:47 UTC] PHP Warning:  Undefined array key "std" in /wordpress/wp-content/plugins/web-maps-for-wp/lib/AGOLForWP/Class/AGOLforWPOptions.php on line 1128
[01-May-2025 14:57:47 UTC] PHP Warning:  Undefined variable $wp_error in /wordpress/wp-content/plugins/web-maps-for-wp/agol-for-wp.php on line 59
[01-May-2025 14:57:57 UTC] PHP Warning:  Undefined array key "std" in /wordpress/wp-content/plugins/web-maps-for-wp/lib/AGOLForWP/Class/AGOLforWPOptions.php on line 1128
[01-May-2025 14:57:57 UTC] PHP Warning:  Undefined variable $wp_error in /wordpress/wp-content/plugins/web-maps-for-wp/agol-for-wp.php on line 59
[01-May-2025 14:58:38 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[01-May-2025 14:58:39 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>twentytwentyfive</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[01-May-2025 14:58:48 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[01-May-2025 14:58:49 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>twentytwentyfive</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[01-May-2025 14:58:59 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[01-May-2025 14:59:01 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>twentytwentyfive</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[01-May-2025 15:00:37 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>INSERT INTO wp_facethumb VALUES ('', '1746111637', 'WP-FaceThumb', 'http://127.0.0.1:9404/wp-content/plugins/wp-facethumb/uploads/1746111637.jpg', 'http://wordpress.org/extend/plugins/wp-facethumb/', '1')</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: SELECT 1 FROM sqlite_temp_schema WHERE type = 'table' AND name = ? | parameters: wp_facethumb</li>
<li>Executing: 
				SELECT column_name, is_nullable, column_default, data_type, extra
				FROM _wp_sqlite_mysql_information_schema_columns
				WHERE table_schema = ?
				AND table_name = ?
				ORDER BY ordinal_position
			 | parameters: database_name_here, wp_facethumb</li>
<li>Executing: INSERT INTO `wp_facethumb` (`id`, `time`, `pseudo`, `thumb`, `link`, `display`) SELECT `column1`, `column2`, `column3`, `column4`, `column5`, `column6` FROM (VALUES ( '' , '1746111637' , 'WP-FaceThumb' , 'http://127.0.0.1:9404/wp-content/plugins/wp-facethumb/uploads/1746111637.jpg' , 'http://wordpress.org/extend/plugins/wp-facethumb/' , '1' )) WHERE true | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
SQLSTATE[HY000]: General error: 20 datatype mismatch
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-driver.php(690): WP_SQLite_Driver->new_driver_exception('SQLSTATE[HY000]...', 0, Object(PDOException))
#1 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(472): WP_SQLite_Driver->query('INSERT INTO wp_...')
#2 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(413): WP_SQLite_DB->_do_query('INSERT INTO wp_...')
#3 /wordpress/wp-content/plugins/wp-facethumb/WP-FaceThumb.php(215): WP_SQLite_DB->query('INSERT INTO wp_...')
#4 /wordpress/wp-includes/class-wp-hook.php(324): WP_FaceThumb->facethumb_install(false)
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-fac...', false)
#8 /internal/eval.php(20): activate_plugin('wp-facethumb/WP...')
#9 {main}</pre>
 for query INSERT INTO wp_facethumb VALUES ('', '1746111637', 'WP-FaceThumb', 'http://127.0.0.1:9404/wp-content/plugins/wp-facethumb/uploads/1746111637.jpg', 'http://wordpress.org/extend/plugins/wp-facethumb/', '1') made by activate_plugin, do_action('activate_wp-facethumb/WP-FaceThumb.php'), WP_Hook->do_action, WP_Hook->apply_filters, WP_FaceThumb->facethumb_install, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[01-May-2025 15:00:38 UTC] PHP Deprecated:  The called constructor method for WP_Widget class in WP_FaceThumb_Widget is <strong>deprecated</strong> since version 4.3.0! Use <code>__construct()</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[01-May-2025 15:00:47 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>INSERT INTO wp_facethumb VALUES ('', '1746111646', 'WP-FaceThumb', 'http://127.0.0.1:9404/wp-content/plugins/wp-facethumb/uploads/1746111646.jpg', 'http://wordpress.org/extend/plugins/wp-facethumb/', '1')</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: INSERT INTO wp_facethumb VALUES (:param0 , :param1 , :param2 , :param3 , :param4 , :param5 ) | parameters: , 1746111646, WP-FaceThumb, http://127.0.0.1:9404/wp-content/plugins/wp-facethumb/uploads/1746111646.jpg, http://wordpress.org/extend/plugins/wp-facethumb/, 1</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: SQLSTATE[HY000]: General error: 20 datatype mismatch.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/wp-facethumb/WP-FaceThumb.php(215): WP_SQLite_DB->query('INSERT INTO wp_...')
#2 /wordpress/wp-includes/class-wp-hook.php(324): WP_FaceThumb->facethumb_install(false)
#3 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#4 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#5 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-fac...', false)
#6 /internal/eval.php(20): activate_plugin('wp-facethumb/WP...')
#7 {main}</pre>
 for query INSERT INTO wp_facethumb VALUES ('', '1746111646', 'WP-FaceThumb', 'http://127.0.0.1:9404/wp-content/plugins/wp-facethumb/uploads/1746111646.jpg', 'http://wordpress.org/extend/plugins/wp-facethumb/', '1') made by activate_plugin, do_action('activate_wp-facethumb/WP-FaceThumb.php'), WP_Hook->do_action, WP_Hook->apply_filters, WP_FaceThumb->facethumb_install, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[01-May-2025 15:00:47 UTC] PHP Deprecated:  The called constructor method for WP_Widget class in WP_FaceThumb_Widget is <strong>deprecated</strong> since version 4.3.0! Use <code>__construct()</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[01-May-2025 15:00:57 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>INSERT INTO wp_facethumb VALUES ('', '1746111657', 'WP-FaceThumb', 'http://127.0.0.1:9404/wp-content/plugins/wp-facethumb/uploads/1746111657.jpg', 'http://wordpress.org/extend/plugins/wp-facethumb/', '1')</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: INSERT INTO wp_facethumb VALUES (:param0 , :param1 , :param2 , :param3 , :param4 , :param5 ) | parameters: , 1746111657, WP-FaceThumb, http://127.0.0.1:9404/wp-content/plugins/wp-facethumb/uploads/1746111657.jpg, http://wordpress.org/extend/plugins/wp-facethumb/, 1</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: SQLSTATE[HY000]: General error: 20 datatype mismatch.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/wp-facethumb/WP-FaceThumb.php(215): WP_SQLite_DB->query('INSERT INTO wp_...')
#2 /wordpress/wp-includes/class-wp-hook.php(324): WP_FaceThumb->facethumb_install(false)
#3 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#4 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#5 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-fac...', false)
#6 /internal/eval.php(20): activate_plugin('wp-facethumb/WP...')
#7 {main}</pre>
 for query INSERT INTO wp_facethumb VALUES ('', '1746111657', 'WP-FaceThumb', 'http://127.0.0.1:9404/wp-content/plugins/wp-facethumb/uploads/1746111657.jpg', 'http://wordpress.org/extend/plugins/wp-facethumb/', '1') made by activate_plugin, do_action('activate_wp-facethumb/WP-FaceThumb.php'), WP_Hook->do_action, WP_Hook->apply_filters, WP_FaceThumb->facethumb_install, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[01-May-2025 15:00:58 UTC] PHP Deprecated:  The called constructor method for WP_Widget class in WP_FaceThumb_Widget is <strong>deprecated</strong> since version 4.3.0! Use <code>__construct()</code> instead. in /wordpress/wp-includes/functions.php on line 6121

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"wp-frontpage-slideshow"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/wp-frontpage-slideshow.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/wp-frontpage-slideshow.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/wp-frontpage-slideshow.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/wp-frontpage-slideshow.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1472:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
