file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [01-May-2025 14:49:51 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/woo-advance-search/freemius/includes/class-fs-logger.php on line 145
[01-May-2025 14:53:44 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/wp-easy-notices/wp-easy-notices.php on line 24
[01-May-2025 14:53:52 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/wp-easy-notices/wp-easy-notices.php on line 24
[01-May-2025 14:53:53 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/wp-easy-notices/wp-easy-notices.php on line 24
[01-May-2025 14:54:02 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/wp-easy-notices/wp-easy-notices.php on line 24
[01-May-2025 14:54:03 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/wp-easy-notices/wp-easy-notices.php on line 24
[01-May-2025 14:54:12 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54
[01-May-2025 14:54:12 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 31
[01-May-2025 14:54:12 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 32
[01-May-2025 14:54:13 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54
[01-May-2025 14:54:21 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54
[01-May-2025 14:54:22 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 31
[01-May-2025 14:54:22 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 32
[01-May-2025 14:54:22 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54
[01-May-2025 14:54:31 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54
[01-May-2025 14:54:32 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 31
[01-May-2025 14:54:32 UTC] PHP Warning:  Undefined variable $new_version in /wordpress/wp-content/plugins/wp-remove-css-js/admin/functions.php on line 32
[01-May-2025 14:54:33 UTC] PHP Warning:  Constant WP_EXNAVIGATION_DETECT already defined in /wordpress/wp-content/plugins/wp-remove-css-js/inc/configure.php on line 54

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"wp-shortlink"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/wp-shortlink.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/wp-shortlink.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/wp-shortlink.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/wp-shortlink.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1472:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
