file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [05-Jul-2025 06:56:05 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 792
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Constant WP_POST_REVISIONS already defined in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 898
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 905
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 905
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 910
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 910
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 915
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 915
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 926
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 926
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 933
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 933
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 950
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 950
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 958
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 958
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 970
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 970
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 976
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 976
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 989
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 989
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 994
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 994
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 999
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 999
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1009
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1009
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1032
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1032
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1040
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1040
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1048
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1048
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1062
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1062
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1070
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1070
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1075
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1075
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1086
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1086
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1095
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1095
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Undefined variable $wp_faster_options in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1110
[05-Jul-2025 06:56:21 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1110
[05-Jul-2025 06:56:21 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php:1112
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wp-hash-filenam...')
#2 /internal/eval.php(20): activate_plugin('wp-hash-filenam...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wp-hash-filename/wp-faster.php on line 1112
[05-Jul-2025 06:57:57 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/woocommerce-xls-exportlite/lib/PHPExcel/Shared/String.php on line 529
[05-Jul-2025 06:58:06 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/woocommerce-xls-exportlite/lib/PHPExcel/Shared/String.php on line 529
[05-Jul-2025 06:58:15 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/woocommerce-xls-exportlite/lib/PHPExcel/Shared/String.php on line 529
[05-Jul-2025 06:58:24 UTC] PHP Fatal error:  Uncaught TypeError: count(): Argument #1 ($value) must be of type Countable|array, bool given in /wordpress/wp-content/plugins/wooshark-awesome-gallery/WoosharkAwesomeGallery_Plugin.php:32
Stack trace:
#0 /wordpress/wp-content/plugins/wooshark-awesome-gallery/WoosharkAwesomeGallery_LifeCycle.php(29): WoosharkAwesomeGallery_Plugin->initOptions()
#1 /wordpress/wp-content/plugins/wooshark-awesome-gallery/wooshark-awesome-gallery_init.php(35): WoosharkAwesomeGallery_LifeCycle->install()
#2 /wordpress/wp-content/plugins/wooshark-awesome-gallery/wooshark-awesome-gallery.php(84): WoosharkAwesomeGallery_init('/wordpress/wp-c...')
#3 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#4 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wooshark-awesom...')
#5 /internal/eval.php(20): activate_plugin('wooshark-awesom...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/wooshark-awesome-gallery/WoosharkAwesomeGallery_Plugin.php on line 32
[05-Jul-2025 06:58:33 UTC] PHP Fatal error:  Uncaught TypeError: count(): Argument #1 ($value) must be of type Countable|array, bool given in /wordpress/wp-content/plugins/wooshark-awesome-gallery/WoosharkAwesomeGallery_Plugin.php:32
Stack trace:
#0 /wordpress/wp-content/plugins/wooshark-awesome-gallery/WoosharkAwesomeGallery_LifeCycle.php(29): WoosharkAwesomeGallery_Plugin->initOptions()
#1 /wordpress/wp-content/plugins/wooshark-awesome-gallery/wooshark-awesome-gallery_init.php(35): WoosharkAwesomeGallery_LifeCycle->install()
#2 /wordpress/wp-content/plugins/wooshark-awesome-gallery/wooshark-awesome-gallery.php(84): WoosharkAwesomeGallery_init('/wordpress/wp-c...')
#3 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#4 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wooshark-awesom...')
#5 /internal/eval.php(20): activate_plugin('wooshark-awesom...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/wooshark-awesome-gallery/WoosharkAwesomeGallery_Plugin.php on line 32
[05-Jul-2025 06:58:42 UTC] PHP Fatal error:  Uncaught TypeError: count(): Argument #1 ($value) must be of type Countable|array, bool given in /wordpress/wp-content/plugins/wooshark-awesome-gallery/WoosharkAwesomeGallery_Plugin.php:32
Stack trace:
#0 /wordpress/wp-content/plugins/wooshark-awesome-gallery/WoosharkAwesomeGallery_LifeCycle.php(29): WoosharkAwesomeGallery_Plugin->initOptions()
#1 /wordpress/wp-content/plugins/wooshark-awesome-gallery/wooshark-awesome-gallery_init.php(35): WoosharkAwesomeGallery_LifeCycle->install()
#2 /wordpress/wp-content/plugins/wooshark-awesome-gallery/wooshark-awesome-gallery.php(84): WoosharkAwesomeGallery_init('/wordpress/wp-c...')
#3 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#4 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wooshark-awesom...')
#5 /internal/eval.php(20): activate_plugin('wooshark-awesom...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/wooshark-awesome-gallery/WoosharkAwesomeGallery_Plugin.php on line 32

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"wordprecious"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/wordprecious.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/wordprecious.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/wordprecious.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/wordprecious.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1129:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
