file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [09-Jun-2025 13:41:12 UTC] PHP Fatal error:  Declaration of AVH_Walker_Category_Checklist::walk($elements, $max_depth) must be compatible with Walker::walk($elements, $max_depth, ...$args) in /wordpress/wp-content/plugins/extended-categories-widget/4.2/class/avh-ec.widgets.php on line 62
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 275
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 276
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 277
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 278
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 279
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined variable $wp_error in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 324
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "price1" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 219
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "price2" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 220
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "price3" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 221
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "price4" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 222
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "price5" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 223
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "price6" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 224
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "price7" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 225
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "price8" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 226
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 239
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 240
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 241
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 242
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 243
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 244
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 245
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 246
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "difficulty" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 253
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "terms" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 254
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "tagline" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 255
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 258
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 259
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 260
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "fullname" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 267
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "hours" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 268
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "telephone" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 269
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "email" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 270
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "datestamp" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 271
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Undefined array key "escaperoom" in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 272
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 275
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 276
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 277
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 278
[09-Jun-2025 13:44:24 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/escape-rooms/escape-rooms-ii.php on line 279
[09-Jun-2025 13:46:31 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "estilos_init" in /wordpress/wp-content/plugins/estilos-dinamicos/estilos.php:11
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('estilos-dinamic...')
#2 /internal/eval.php(20): activate_plugin('estilos-dinamic...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/estilos-dinamicos/estilos.php on line 11
[09-Jun-2025 13:46:41 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "estilos_init" in /wordpress/wp-content/plugins/estilos-dinamicos/estilos.php:11
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('estilos-dinamic...')
#2 /internal/eval.php(20): activate_plugin('estilos-dinamic...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/estilos-dinamicos/estilos.php on line 11
[09-Jun-2025 13:46:49 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "estilos_init" in /wordpress/wp-content/plugins/estilos-dinamicos/estilos.php:11
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('estilos-dinamic...')
#2 /internal/eval.php(20): activate_plugin('estilos-dinamic...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/estilos-dinamicos/estilos.php on line 11
[09-Jun-2025 13:47:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 68
[09-Jun-2025 13:47:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 81
[09-Jun-2025 13:47:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 98
[09-Jun-2025 13:47:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 110
[09-Jun-2025 13:47:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 180
[09-Jun-2025 13:47:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 68
[09-Jun-2025 13:47:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 81
[09-Jun-2025 13:47:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 98
[09-Jun-2025 13:47:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 110
[09-Jun-2025 13:47:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 180
[09-Jun-2025 13:47:39 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 68
[09-Jun-2025 13:47:39 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 81
[09-Jun-2025 13:47:39 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 98
[09-Jun-2025 13:47:39 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 110
[09-Jun-2025 13:47:39 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 180
[09-Jun-2025 13:47:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 68
[09-Jun-2025 13:47:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 81
[09-Jun-2025 13:47:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 98
[09-Jun-2025 13:47:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 110
[09-Jun-2025 13:47:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 180
[09-Jun-2025 13:47:49 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 68
[09-Jun-2025 13:47:49 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 81
[09-Jun-2025 13:47:49 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 98
[09-Jun-2025 13:47:49 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 110
[09-Jun-2025 13:47:49 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 180
[09-Jun-2025 13:47:49 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 68
[09-Jun-2025 13:47:49 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 81
[09-Jun-2025 13:47:49 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 98
[09-Jun-2025 13:47:49 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 110
[09-Jun-2025 13:47:49 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/etc-mods-bundle/etc-mods-bundle.php on line 180

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"eusouhubber"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/eusouhubber.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/eusouhubber.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/eusouhubber.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/eusouhubber.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1129:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
