file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [01-Jun-2025 05:01:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/hq-sand-box/sandbox.php on line 285
#4 /wordpress/wp-content/plugins/easy-ip-redirection/includes/functions.php(132): wpdb->get_results('SELECT * FROM '...')
#5 /wordpress/wp-content/plugins/easy-ip-redirection/includes/functions.php(176): eip_redirect()
#6 /wordpress/wp-content/plugins/easy-ip-redirection/easy-ip-redirection.php(45): require('/wordpress/wp-c...')
#7 /wordpress/wp-settings.php(545): include_once('/wordpress/wp-c...')
#8 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#9 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#10 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#11 {main}</pre>
 for query SELECT * FROM 'wp_'_eip_rule WHERE country_code = 'all' made by require_once('wp-load.php'), require_once('wp-config.php'), require_once('wp-settings.php'), include_once('/plugins/easy-ip-redirection/easy-ip-redirection.php'), require('/plugins/easy-ip-redirection/includes/functions.php'), eip_redirect, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[01-Jun-2025 05:03:54 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/easy-ip-redirection/includes/functions.php on line 114
[01-Jun-2025 05:03:54 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>SELECT * FROM 'wp_'_eip_rule WHERE country_code = 'all'</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: SELECT * FROM :param0 _eip_rule WHERE country_code = :param1  | parameters: wp_, all</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: SQLSTATE[HY000]: General error: 1 near ":param0": syntax error.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-includes/class-wpdb.php(3146): WP_SQLite_DB->query('SELECT * FROM '...')
#2 /wordpress/wp-content/plugins/easy-ip-redirection/includes/functions.php(132): wpdb->get_results('SELECT * FROM '...')
#3 /wordpress/wp-content/plugins/easy-ip-redirection/includes/functions.php(176): eip_redirect()
#4 /wordpress/wp-content/plugins/easy-ip-redirection/easy-ip-redirection.php(45): require('/wordpress/wp-c...')
#5 /wordpress/wp-settings.php(545): include_once('/wordpress/wp-c...')
#6 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#7 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#8 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#9 {main}</pre>
 for query SELECT * FROM 'wp_'_eip_rule WHERE country_code = 'all' made by require_once('wp-load.php'), require_once('wp-config.php'), require_once('wp-settings.php'), include_once('/plugins/easy-ip-redirection/easy-ip-redirection.php'), require('/plugins/easy-ip-redirection/includes/functions.php'), eip_redirect, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[01-Jun-2025 05:04:03 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/easy-ip-redirection/includes/functions.php on line 114
[01-Jun-2025 05:04:03 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>SELECT * FROM 'wp_'_eip_rule WHERE country_code = 'all'</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: SELECT * FROM :param0 _eip_rule WHERE country_code = :param1  | parameters: wp_, all</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: SQLSTATE[HY000]: General error: 1 near ":param0": syntax error.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-includes/class-wpdb.php(3146): WP_SQLite_DB->query('SELECT * FROM '...')
#2 /wordpress/wp-content/plugins/easy-ip-redirection/includes/functions.php(132): wpdb->get_results('SELECT * FROM '...')
#3 /wordpress/wp-content/plugins/easy-ip-redirection/includes/functions.php(176): eip_redirect()
#4 /wordpress/wp-content/plugins/easy-ip-redirection/easy-ip-redirection.php(45): require('/wordpress/wp-c...')
#5 /wordpress/wp-settings.php(545): include_once('/wordpress/wp-c...')
#6 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#7 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#8 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#9 {main}</pre>
 for query SELECT * FROM 'wp_'_eip_rule WHERE country_code = 'all' made by require_once('wp-load.php'), require_once('wp-config.php'), require_once('wp-settings.php'), include_once('/plugins/easy-ip-redirection/easy-ip-redirection.php'), require('/plugins/easy-ip-redirection/includes/functions.php'), eip_redirect, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[01-Jun-2025 05:07:52 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/hide-wp-version/Hide-WP-Version.php:15
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('hide-wp-version...')
#2 /internal/eval.php(20): activate_plugin('hide-wp-version...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/hide-wp-version/Hide-WP-Version.php on line 15
[01-Jun-2025 05:07:59 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/hide-wp-version/Hide-WP-Version.php:15
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('hide-wp-version...')
#2 /internal/eval.php(20): activate_plugin('hide-wp-version...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/hide-wp-version/Hide-WP-Version.php on line 15
[01-Jun-2025 05:08:06 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/hide-wp-version/Hide-WP-Version.php:15
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('hide-wp-version...')
#2 /internal/eval.php(20): activate_plugin('hide-wp-version...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/hide-wp-version/Hide-WP-Version.php on line 15

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"hide-wp-version"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:33:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ]
        },
        bytes: Uint8Array(0) [],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
