file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [27-Apr-2025 18:32:41 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/giveaways-for-woocommerce/freemius/includes/class-fs-logger.php on line 145
[27-Apr-2025 18:35:54 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/core.class.php on line 344
[27-Apr-2025 18:35:54 UTC] PHP Warning:  The magic method O10n\Core::__wakeup() must have public visibility in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/core.class.php on line 344
[27-Apr-2025 18:35:54 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/file.class.php on line 304
[27-Apr-2025 18:35:54 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/cache.class.php on line 1238
[27-Apr-2025 18:35:54 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/cache.class.php on line 1507
[27-Apr-2025 18:35:54 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/cache.class.php on line 1521
[27-Apr-2025 18:35:54 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/url.class.php on line 298
[27-Apr-2025 18:35:54 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/output.class.php on line 134
[27-Apr-2025 18:35:54 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/output.class.php on line 191
[27-Apr-2025 18:36:03 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 304
[27-Apr-2025 18:36:03 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 309
[27-Apr-2025 18:36:03 UTC] PHP Warning:  The magic method O10n\Module::__wakeup() must have public visibility in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 309
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 304
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 309
[27-Apr-2025 18:36:04 UTC] PHP Warning:  The magic method O10n\Module::__wakeup() must have public visibility in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 309
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/core.class.php on line 292
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/core.class.php on line 339
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/core.class.php on line 344
[27-Apr-2025 18:36:04 UTC] PHP Warning:  The magic method O10n\Core::__wakeup() must have public visibility in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/core.class.php on line 344
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/file.class.php on line 304
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/cache.class.php on line 1238
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/cache.class.php on line 1507
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/cache.class.php on line 1521
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/url.class.php on line 298
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/output.class.php on line 134
[27-Apr-2025 18:36:04 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/output.class.php on line 191
[27-Apr-2025 18:36:12 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 304
[27-Apr-2025 18:36:12 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 309
[27-Apr-2025 18:36:12 UTC] PHP Warning:  The magic method O10n\Module::__wakeup() must have public visibility in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 309
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 304
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 309
[27-Apr-2025 18:36:13 UTC] PHP Warning:  The magic method O10n\Module::__wakeup() must have public visibility in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/module.php on line 309
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/core.class.php on line 292
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/core.class.php on line 339
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/core.class.php on line 344
[27-Apr-2025 18:36:13 UTC] PHP Warning:  The magic method O10n\Core::__wakeup() must have public visibility in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/core.class.php on line 344
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/file.class.php on line 304
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/cache.class.php on line 1238
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/cache.class.php on line 1507
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/cache.class.php on line 1521
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/url.class.php on line 298
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/output.class.php on line 134
[27-Apr-2025 18:36:13 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/gc-page-cache-cdn/core/controllers/output.class.php on line 191
[27-Apr-2025 18:36:48 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "CHILD_DOMAIN" in /wordpress/wp-content/plugins/genesis-servies-cpt/inc/plugins/plugins.php:66
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): lp_register_required_plugins_services('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-content/plugins/genesis-servies-cpt/inc/plugins/class-tgm-plugin-activation.php(223): do_action('tgmpa_register')
#4 /wordpress/wp-includes/class-wp-hook.php(324): TGM_Plugin_Activation->init('')
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-settings.php(727): do_action('init')
#8 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#9 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#10 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#11 {main}
  thrown in /wordpress/wp-content/plugins/genesis-servies-cpt/inc/plugins/plugins.php on line 66

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"genesis-servies-cpt"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:73:13)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ],
          expires: [ 'Wed, 11 Jan 1984 05:00:00 GMT' ],
          'cache-control': [ 'no-cache, must-revalidate, max-age=0, no-store, private' ]
        },
        bytes: Uint8Array(2653) [
           60,  33,  68,  79,  67,  84,  89,  80,  69,  32, 104, 116,
          109, 108,  62,  10,  60, 104, 116, 109, 108,  32, 108,  97,
          110, 103,  61,  34, 101, 110,  45,  85,  83,  34,  62,  10,
           60, 104, 101,  97, 100,  62,  10,   9,  60, 109, 101, 116,
           97,  32, 104, 116, 116, 112,  45, 101, 113, 117, 105, 118,
           61,  34,  67, 111, 110, 116, 101, 110, 116,  45,  84, 121,
          112, 101,  34,  32,  99, 111, 110, 116, 101, 110, 116,  61,
           34, 116, 101, 120, 116,  47, 104, 116, 109, 108,  59,  32,
           99, 104,  97, 114,
          ... 2553 more items
        ],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
