file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [06-May-2025 22:28:15 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/woopaymu-woocommerce-ipaymu-gateway/index.php on line 148
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:10 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:28 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('WPCBPluginTextA...')
#2 /wordpress/wp-content/plugins/wordpress-clickbank-plugin/wp-clickbank-widget.php(2): register_widget('WPCBPluginTextA...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): ClickBank_load_advertisement_widgets('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[06-May-2025 22:29:38 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('WPCBPluginTextA...')
#2 /wordpress/wp-content/plugins/wordpress-clickbank-plugin/wp-clickbank-widget.php(2): register_widget('WPCBPluginTextA...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): ClickBank_load_advertisement_widgets('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[06-May-2025 22:29:47 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('WPCBPluginTextA...')
#2 /wordpress/wp-content/plugins/wordpress-clickbank-plugin/wp-clickbank-widget.php(2): register_widget('WPCBPluginTextA...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): ClickBank_load_advertisement_widgets('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[06-May-2025 22:30:23 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wordpress-newsletter/newsletter.php on line 116
[06-May-2025 22:30:32 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wordpress-newsletter/newsletter.php on line 116
[06-May-2025 22:30:41 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wordpress-newsletter/newsletter.php on line 116

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"wpmktgengine-extension-buddypress"},"options":{"activate":true}}) : Plugin /wordpress/wp-content/plugins/wpmktgengine-extension-buddypress could not be activated – WordPress exited with no error. Sometimes, when $_SERVER or site options are not configured correctly, WordPress exits early with a 301 redirect. Inspect the "debug" logs in the console for more details.
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Plugin /wordpress/wp-content/plugins/wpmktgengine-extension-buddypress could not be activated – WordPress exited with no error. Sometimes, when $_SERVER or site options are not configured correctly, WordPress exits early with a 301 redirect. Inspect the "debug" logs in the console for more details.
        at wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:119:51)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12)
  }
}

Node.js v23.11.0
