file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [06-May-2025 16:58:56 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 13
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 732
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 778
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 787
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 815
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 825
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 835
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 845
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1128
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1182
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1206
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1224
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1250
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1322
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1346
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1360
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1652
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1671
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1682
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1692
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1710
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1713
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1727
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1730
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1748
[06-May-2025 17:02:57 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1751

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"custom-share-buttons-by-profitquery"},"options":{"activate":true}}) : memory access out of bounds
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: memory access out of bounds
        at PHP.ae (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:1449:78)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:984:17)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:33:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10) {
      cause: Error: Rethrown
          at UnhandledRejectionsTarget.e (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:1426:19)
          at [nodejs.internal.kHybridDispatch] (node:internal/event_target:827:20)
          at UnhandledRejectionsTarget.dispatchEvent (node:internal/event_target:762:26)
          at t.wasmExports.<computed> (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:568:15)
          at invoke_iii (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/node/index.js:99031:14)
          at php.wasm.phar_compile_file (wasm://wasm/php.wasm-038c1012:wasm-function[11554]:0x64ddc5)
          at php.wasm.zend_include_or_eval (wasm://wasm/php.wasm-038c1012:wasm-function[2850]:0x1de014)
          at php.wasm.ZEND_INCLUDE_OR_EVAL_SPEC_CONST_HANDLER (wasm://wasm/php.wasm-038c1012:wasm-function[14530]:0x7621ea)
          at php.wasm.execute_ex (wasm://wasm/php.wasm-038c1012:wasm-function[13057]:0x6e3f0e)
          at php.wasm.zend_execute (wasm://wasm/php.wasm-038c1012:wasm-function[3568]:0x24b6e1) {
        cause: RuntimeError: memory access out of bounds
            at php.wasm.zend_hash_find (wasm://wasm/php.wasm-038c1012:wasm-function[165]:0xe7bb)
            at php.wasm.zend_compile_var_inner (wasm://wasm/php.wasm-038c1012:wasm-function[923]:0x894d6)
            at php.wasm.zend_compile_expr_inner (wasm://wasm/php.wasm-038c1012:wasm-function[276]:0x1a573)
            at php.wasm.zend_compile_expr_inner (wasm://wasm/php.wasm-038c1012:wasm-function[276]:0x1ae88)
            at php.wasm.zend_compile_expr_inner (wasm://wasm/php.wasm-038c1012:wasm-function[276]:0x1ae72)
            at php.wasm.zend_compile_expr_inner (wasm://wasm/php.wasm-038c1012:wasm-function[276]:0x1ae72)
            at php.wasm.zend_compile_expr_inner (wasm://wasm/php.wasm-038c1012:wasm-function[276]:0x1ae72)
            at php.wasm.zend_compile_expr_inner (wasm://wasm/php.wasm-038c1012:wasm-function[276]:0x1ae72)
            at php.wasm.zend_compile_expr_inner (wasm://wasm/php.wasm-038c1012:wasm-function[276]:0x1ae72)
            at php.wasm.zend_compile_expr_inner (wasm://wasm/php.wasm-038c1012:wasm-function[276]:0x1ae72),
        betterMessage: 'memory access out of bounds'
      }
    }
  }
}

Node.js v23.11.0
