file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [20-May-2025 11:48:48 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/facebook-fan-box-cache/facebook-fan-box-cache.php:515
[20-May-2025 11:54:43 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, non-static method Findicons::init() cannot be called statically in /wordpress/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#1 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /wordpress/wp-settings.php(727): do_action('init')
#3 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#4 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#5 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#6 {main}
  thrown in /wordpress/wp-includes/class-wp-hook.php on line 324
[20-May-2025 11:54:52 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, non-static method Findicons::init() cannot be called statically in /wordpress/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#1 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /wordpress/wp-settings.php(727): do_action('init')
#3 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#4 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#5 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#6 {main}
  thrown in /wordpress/wp-includes/class-wp-hook.php on line 324
[20-May-2025 11:55:37 UTC] PHP Deprecated:  Required parameter $working follows optional parameter $type in /wordpress/wp-content/plugins/grid/lib/grid/libs/simplepie_1.5.2.mini.php on line 12048
[20-May-2025 11:55:37 UTC] PHP Warning:  mysqli::__construct(): (HY000/2002): Address family not supported by protocol in /wordpress/wp-content/plugins/grid/classes/GridQuery.php on line 42
[20-May-2025 11:55:37 UTC] PHP Fatal error:  Uncaught Error: mysqli object is already closed in /wordpress/wp-content/plugins/grid/classes/GridQuery.php:43
Stack trace:
#0 /wordpress/wp-content/plugins/grid/classes/GridQuery.php(43): mysqli->set_charset('utf8')
#1 /wordpress/wp-content/plugins/grid/classes/GridQuery.php(58): Palasthotel\Grid\WordPress\GridQuery->getConnection()
#2 /wordpress/wp-content/plugins/grid/lib/grid/classes/AbstractQuery.php(19): Palasthotel\Grid\WordPress\GridQuery->execute('create table if...')
#3 /wordpress/wp-content/plugins/grid/wordpress_plugin.php(532): Palasthotel\Grid\AbstractQuery->prefixAndExecute('create table if...')
#4 /wordpress/wp-content/plugins/grid/classes/Component/Plugin.php(52): Palasthotel\Grid\WordPress\Plugin->onSiteActivation()
#5 /wordpress/wp-includes/class-wp-hook.php(324): Palasthotel\Grid\WordPress\Component\Plugin->onActivation(false)
#6 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#7 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#8 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_grid/w...', false)
#9 /internal/eval.php(20): activate_plugin('grid/wordpress_...')
#10 {main}
  thrown in /wordpress/wp-content/plugins/grid/classes/GridQuery.php on line 43
[20-May-2025 11:55:54 UTC] PHP Deprecated:  Required parameter $working follows optional parameter $type in /wordpress/wp-content/plugins/grid/lib/grid/libs/simplepie_1.5.2.mini.php on line 12048
[20-May-2025 11:55:54 UTC] PHP Warning:  mysqli::__construct(): (HY000/2002): Address family not supported by protocol in /wordpress/wp-content/plugins/grid/classes/GridQuery.php on line 42
[20-May-2025 11:55:54 UTC] PHP Fatal error:  Uncaught Error: mysqli object is already closed in /wordpress/wp-content/plugins/grid/classes/GridQuery.php:43
Stack trace:
#0 /wordpress/wp-content/plugins/grid/classes/GridQuery.php(43): mysqli->set_charset('utf8')
#1 /wordpress/wp-content/plugins/grid/classes/GridQuery.php(58): Palasthotel\Grid\WordPress\GridQuery->getConnection()
#2 /wordpress/wp-content/plugins/grid/lib/grid/classes/AbstractQuery.php(19): Palasthotel\Grid\WordPress\GridQuery->execute('create table if...')
#3 /wordpress/wp-content/plugins/grid/wordpress_plugin.php(532): Palasthotel\Grid\AbstractQuery->prefixAndExecute('create table if...')
#4 /wordpress/wp-content/plugins/grid/classes/Component/Plugin.php(52): Palasthotel\Grid\WordPress\Plugin->onSiteActivation()
#5 /wordpress/wp-includes/class-wp-hook.php(324): Palasthotel\Grid\WordPress\Component\Plugin->onActivation(false)
#6 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#7 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#8 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_grid/w...', false)
#9 /internal/eval.php(20): activate_plugin('grid/wordpress_...')
#10 {main}
  thrown in /wordpress/wp-content/plugins/grid/classes/GridQuery.php on line 43
[20-May-2025 11:56:11 UTC] PHP Deprecated:  Required parameter $working follows optional parameter $type in /wordpress/wp-content/plugins/grid/lib/grid/libs/simplepie_1.5.2.mini.php on line 12048
[20-May-2025 11:56:11 UTC] PHP Warning:  mysqli::__construct(): (HY000/2002): Address family not supported by protocol in /wordpress/wp-content/plugins/grid/classes/GridQuery.php on line 42
[20-May-2025 11:56:11 UTC] PHP Fatal error:  Uncaught Error: mysqli object is already closed in /wordpress/wp-content/plugins/grid/classes/GridQuery.php:43
Stack trace:
#0 /wordpress/wp-content/plugins/grid/classes/GridQuery.php(43): mysqli->set_charset('utf8')
#1 /wordpress/wp-content/plugins/grid/classes/GridQuery.php(58): Palasthotel\Grid\WordPress\GridQuery->getConnection()
#2 /wordpress/wp-content/plugins/grid/lib/grid/classes/AbstractQuery.php(19): Palasthotel\Grid\WordPress\GridQuery->execute('create table if...')
#3 /wordpress/wp-content/plugins/grid/wordpress_plugin.php(532): Palasthotel\Grid\AbstractQuery->prefixAndExecute('create table if...')
#4 /wordpress/wp-content/plugins/grid/classes/Component/Plugin.php(52): Palasthotel\Grid\WordPress\Plugin->onSiteActivation()
#5 /wordpress/wp-includes/class-wp-hook.php(324): Palasthotel\Grid\WordPress\Component\Plugin->onActivation(false)
#6 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#7 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#8 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_grid/w...', false)
#9 /internal/eval.php(20): activate_plugin('grid/wordpress_...')
#10 {main}
  thrown in /wordpress/wp-content/plugins/grid/classes/GridQuery.php on line 43
[20-May-2025 11:56:22 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('FlickrEyeCandyW...')
#2 /wordpress/wp-content/plugins/flickr-eyecandy/flickr_eyecandy.php(330): register_widget('FlickrEyeCandyW...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): flickr_eyecandy_widget_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[20-May-2025 11:56:31 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('FlickrEyeCandyW...')
#2 /wordpress/wp-content/plugins/flickr-eyecandy/flickr_eyecandy.php(330): register_widget('FlickrEyeCandyW...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): flickr_eyecandy_widget_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[20-May-2025 11:56:41 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('FlickrEyeCandyW...')
#2 /wordpress/wp-content/plugins/flickr-eyecandy/flickr_eyecandy.php(330): register_widget('FlickrEyeCandyW...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): flickr_eyecandy_widget_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"flynsarmy-twitter-widgets"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/flynsarmy-twitter-widgets.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/flynsarmy-twitter-widgets.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/flynsarmy-twitter-widgets.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/flynsarmy-twitter-widgets.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1472:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
