file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [13-Apr-2025 05:12:04 UTC] PHP Warning:  Undefined variable $htaccess in /wordpress/wp-content/plugins/wordpress-automatic-image-hotlink-protection/wordpress-automatic-image-hotlink-protection.php on line 73
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "Collation" in /wordpress/wp-content/plugins/wp-mailster/mailster/utils/DBUtils.php on line 101
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:39 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>SHOW INDEXES FROM wp_mailster_group_users</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown show type: INDEXES FROM.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-includes/class-wpdb.php(3142): WP_SQLite_DB->query('SHOW INDEXES FR...')
#2 /wordpress/wp-content/plugins/wp-mailster/mailster/utils/DBUtils.php(457): wpdb->get_results('SHOW INDEXES FR...')
#3 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(628): MstDBUtils::createIndexIfNotExists('wp_mailster_gro...', 'group_id', Array)
#4 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(444): mailster_createIndexes()
#5 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(34): mailster_setupInitialDatabaseIfNeeded()
#6 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(26): mailster_install_or_update()
#7 /wordpress/wp-includes/class-wp-hook.php(324): mailster_install(false)
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-mai...', false)
#11 /internal/eval.php(20): activate_plugin('wp-mailster/wp-...')
#12 {main}</pre>
 for query SHOW INDEXES FROM wp_mailster_group_users made by activate_plugin, do_action('activate_wp-mailster/wp-mailster.php'), WP_Hook->do_action, WP_Hook->apply_filters, mailster_install, mailster_install_or_update, mailster_setupInitialDatabaseIfNeeded, mailster_createIndexes, MstDBUtils::createIndexIfNotExists, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>SHOW INDEXES FROM wp_mailster_group_users</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown show type: INDEXES FROM.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-includes/class-wpdb.php(3142): WP_SQLite_DB->query('SHOW INDEXES FR...')
#2 /wordpress/wp-content/plugins/wp-mailster/mailster/utils/DBUtils.php(457): wpdb->get_results('SHOW INDEXES FR...')
#3 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(633): MstDBUtils::createIndexIfNotExists('wp_mailster_gro...', 'user', Array)
#4 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(444): mailster_createIndexes()
#5 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(34): mailster_setupInitialDatabaseIfNeeded()
#6 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(26): mailster_install_or_update()
#7 /wordpress/wp-includes/class-wp-hook.php(324): mailster_install(false)
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-mai...', false)
#11 /internal/eval.php(20): activate_plugin('wp-mailster/wp-...')
#12 {main}</pre>
 for query SHOW INDEXES FROM wp_mailster_group_users made by activate_plugin, do_action('activate_wp-mailster/wp-mailster.php'), WP_Hook->do_action, WP_Hook->apply_filters, mailster_install, mailster_install_or_update, mailster_setupInitialDatabaseIfNeeded, mailster_createIndexes, MstDBUtils::createIndexIfNotExists, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>SHOW INDEXES FROM wp_mailster_list_groups</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown show type: INDEXES FROM.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-includes/class-wpdb.php(3142): WP_SQLite_DB->query('SHOW INDEXES FR...')
#2 /wordpress/wp-content/plugins/wp-mailster/mailster/utils/DBUtils.php(457): wpdb->get_results('SHOW INDEXES FR...')
#3 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(638): MstDBUtils::createIndexIfNotExists('wp_mailster_lis...', 'list_id', Array)
#4 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(444): mailster_createIndexes()
#5 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(34): mailster_setupInitialDatabaseIfNeeded()
#6 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(26): mailster_install_or_update()
#7 /wordpress/wp-includes/class-wp-hook.php(324): mailster_install(false)
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-mai...', false)
#11 /internal/eval.php(20): activate_plugin('wp-mailster/wp-...')
#12 {main}</pre>
 for query SHOW INDEXES FROM wp_mailster_list_groups made by activate_plugin, do_action('activate_wp-mailster/wp-mailster.php'), WP_Hook->do_action, WP_Hook->apply_filters, mailster_install, mailster_install_or_update, mailster_setupInitialDatabaseIfNeeded, mailster_createIndexes, MstDBUtils::createIndexIfNotExists, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>SHOW INDEXES FROM wp_mailster_list_groups</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown show type: INDEXES FROM.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-includes/class-wpdb.php(3142): WP_SQLite_DB->query('SHOW INDEXES FR...')
#2 /wordpress/wp-content/plugins/wp-mailster/mailster/utils/DBUtils.php(457): wpdb->get_results('SHOW INDEXES FR...')
#3 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(643): MstDBUtils::createIndexIfNotExists('wp_mailster_lis...', 'list_group', Array)
#4 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(444): mailster_createIndexes()
#5 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(34): mailster_setupInitialDatabaseIfNeeded()
#6 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(26): mailster_install_or_update()
#7 /wordpress/wp-includes/class-wp-hook.php(324): mailster_install(false)
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-mai...', false)
#11 /internal/eval.php(20): activate_plugin('wp-mailster/wp-...')
#12 {main}</pre>
 for query SHOW INDEXES FROM wp_mailster_list_groups made by activate_plugin, do_action('activate_wp-mailster/wp-mailster.php'), WP_Hook->do_action, WP_Hook->apply_filters, mailster_install, mailster_install_or_update, mailster_setupInitialDatabaseIfNeeded, mailster_createIndexes, MstDBUtils::createIndexIfNotExists, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>SHOW INDEXES FROM wp_mailster_list_members</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown show type: INDEXES FROM.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-includes/class-wpdb.php(3142): WP_SQLite_DB->query('SHOW INDEXES FR...')
#2 /wordpress/wp-content/plugins/wp-mailster/mailster/utils/DBUtils.php(457): wpdb->get_results('SHOW INDEXES FR...')
#3 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(648): MstDBUtils::createIndexIfNotExists('wp_mailster_lis...', 'list_id', Array)
#4 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(444): mailster_createIndexes()
#5 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(34): mailster_setupInitialDatabaseIfNeeded()
#6 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(26): mailster_install_or_update()
#7 /wordpress/wp-includes/class-wp-hook.php(324): mailster_install(false)
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-mai...', false)
#11 /internal/eval.php(20): activate_plugin('wp-mailster/wp-...')
#12 {main}</pre>
 for query SHOW INDEXES FROM wp_mailster_list_members made by activate_plugin, do_action('activate_wp-mailster/wp-mailster.php'), WP_Hook->do_action, WP_Hook->apply_filters, mailster_install, mailster_install_or_update, mailster_setupInitialDatabaseIfNeeded, mailster_createIndexes, MstDBUtils::createIndexIfNotExists, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>SHOW INDEXES FROM wp_mailster_list_members</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown show type: INDEXES FROM.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-includes/class-wpdb.php(3142): WP_SQLite_DB->query('SHOW INDEXES FR...')
#2 /wordpress/wp-content/plugins/wp-mailster/mailster/utils/DBUtils.php(457): wpdb->get_results('SHOW INDEXES FR...')
#3 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(653): MstDBUtils::createIndexIfNotExists('wp_mailster_lis...', 'user', Array)
#4 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(444): mailster_createIndexes()
#5 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(34): mailster_setupInitialDatabaseIfNeeded()
#6 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(26): mailster_install_or_update()
#7 /wordpress/wp-includes/class-wp-hook.php(324): mailster_install(false)
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-mai...', false)
#11 /internal/eval.php(20): activate_plugin('wp-mailster/wp-...')
#12 {main}</pre>
 for query SHOW INDEXES FROM wp_mailster_list_members made by activate_plugin, do_action('activate_wp-mailster/wp-mailster.php'), WP_Hook->do_action, WP_Hook->apply_filters, mailster_install, mailster_install_or_update, mailster_setupInitialDatabaseIfNeeded, mailster_createIndexes, MstDBUtils::createIndexIfNotExists, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>SHOW INDEXES FROM wp_mailster_mails</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: Unknown show type: INDEXES FROM.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-includes/class-wpdb.php(3142): WP_SQLite_DB->query('SHOW INDEXES FR...')
#2 /wordpress/wp-content/plugins/wp-mailster/mailster/utils/DBUtils.php(457): wpdb->get_results('SHOW INDEXES FR...')
#3 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(658): MstDBUtils::createIndexIfNotExists('wp_mailster_mai...', 'list_id', Array)
#4 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(444): mailster_createIndexes()
#5 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(34): mailster_setupInitialDatabaseIfNeeded()
#6 /wordpress/wp-content/plugins/wp-mailster/admin/mst_config.php(26): mailster_install_or_update()
#7 /wordpress/wp-includes/class-wp-hook.php(324): mailster_install(false)
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-mai...', false)
#11 /internal/eval.php(20): activate_plugin('wp-mailster/wp-...')
#12 {main}</pre>
 for query SHOW INDEXES FROM wp_mailster_mails made by activate_plugin, do_action('activate_wp-mailster/wp-mailster.php'), WP_Hook->do_action, WP_Hook->apply_filters, mailster_install, mailster_install_or_update, mailster_setupInitialDatabaseIfNeeded, mailster_createIndexes, MstDBUtils::createIndexIfNotExists, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] PHP Warning:  Undefined array key "REMOTE_PORT" in /wordpress/wp-content/plugins/wp-mailster/mailster/app/Log.php on line 59
[13-Apr-2025 05:15:48 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
