file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [07-Jun-2025 04:06:44 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:45 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:45 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:45 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:45 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:45 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:45 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:46 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:46 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 50
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 50
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:46 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 50
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 50
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:46 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:46 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 50
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 50
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:46 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:46 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 50
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 50
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:46 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[07-Jun-2025 04:06:46 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[07-Jun-2025 04:06:46 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
