file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [07-Jun-2025 13:37:08 UTC] PHP Deprecated:  Required parameter $module_path follows optional parameter $file_path in /wordpress/wp-content/plugins/cherry-popups/cherry-framework/cherry-core.php on line 380
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/clickblaze/inc/inc/class.redux_helpers.php on line 69
[07-Jun-2025 13:38:32 UTC] PHP Deprecated:  Required parameter $wp_customize follows optional parameter $args in /wordpress/wp-content/plugins/clickblaze/inc/inc/extensions/customizer/extension_customizer.php on line 583
[07-Jun-2025 13:38:32 UTC] PHP Deprecated:  Required parameter $wp_customize follows optional parameter $args in /wordpress/wp-content/plugins/clickblaze/inc/inc/extensions/customizer/extension_customizer.php on line 606
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/clickblaze/inc/inc/class.redux_helpers.php on line 69
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification-tracking" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 14
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification-copy" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 15
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification-active" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 16
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_bck" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 17
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_font" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 18
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_single" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 19
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_page" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 20
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_frontpage" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 21
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_single-post-limit" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 22
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification-cta" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 23
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification-cta-link" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 24
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_cta_bck" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 25
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_cta_border" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 26
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_cta_font" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 27
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_cta_bck_hover" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 28
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_cta_border_hover" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 29
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_cta_bck_font_hover" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 30
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 35
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification-single-number" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 46
[07-Jun-2025 13:38:32 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 47
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined variable $single in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 50
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification_single-page-limit" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 52
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined array key "eliio-header-notification-page-number" in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 53
[07-Jun-2025 13:38:32 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 54
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined variable $selected_pages in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 57
[07-Jun-2025 13:38:32 UTC] PHP Warning:  Undefined variable $inject in /wordpress/wp-content/plugins/clickblaze/inc/cb-header-notify.php on line 167
[07-Jun-2025 13:39:38 UTC] PHP Deprecated:  Required parameter $number follows optional parameter $value in /wordpress/wp-content/plugins/color-or-image-switch-contact-form-7/admin/switchajax.php on line 54
[07-Jun-2025 13:39:47 UTC] PHP Deprecated:  Required parameter $number follows optional parameter $value in /wordpress/wp-content/plugins/color-or-image-switch-contact-form-7/admin/switchajax.php on line 54
[07-Jun-2025 13:39:56 UTC] PHP Deprecated:  Required parameter $number follows optional parameter $value in /wordpress/wp-content/plugins/color-or-image-switch-contact-form-7/admin/switchajax.php on line 54
[07-Jun-2025 13:42:12 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('Login_Widget')
#2 /wordpress/wp-content/plugins/content4subscribers/includes/widgets/login.php(16): register_widget('Login_Widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): load_Login_Widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[07-Jun-2025 13:42:22 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('Login_Widget')
#2 /wordpress/wp-content/plugins/content4subscribers/includes/widgets/login.php(16): register_widget('Login_Widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): load_Login_Widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"content4subscribers"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:1034:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:74:13)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:631:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12161:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12090:23)
        at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
        at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'set-cookie': [ 'PHPSESSID=eadd712c74a3a09934ec7355e53b6e6b; path=/' ],
          pragma: [ 'no-cache' ],
          'content-type': [ 'text/html; charset=UTF-8' ],
          expires: [ 'Wed, 11 Jan 1984 05:00:00 GMT' ],
          'cache-control': [ 'no-cache, must-revalidate, max-age=0, no-store, private' ]
        },
        bytes: Uint8Array(2653) [
           60,  33,  68,  79,  67,  84,  89,  80,  69,  32, 104, 116,
          109, 108,  62,  10,  60, 104, 116, 109, 108,  32, 108,  97,
          110, 103,  61,  34, 101, 110,  45,  85,  83,  34,  62,  10,
           60, 104, 101,  97, 100,  62,  10,   9,  60, 109, 101, 116,
           97,  32, 104, 116, 116, 112,  45, 101, 113, 117, 105, 118,
           61,  34,  67, 111, 110, 116, 101, 110, 116,  45,  84, 121,
          112, 101,  34,  32,  99, 111, 110, 116, 101, 110, 116,  61,
           34, 116, 101, 120, 116,  47, 104, 116, 109, 108,  59,  32,
           99, 104,  97, 114,
          ... 2553 more items
        ],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
